Column title,Description,Unit,Comment,,
Seawater Chemical Properties_pH,"Alkalinity, acidity and pH of the H2O column",none,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Seawater Chemical Properties_pH_flag,Flag for column: Seawater Chemical Properties_pH,,Flagging only when the given unit is different to the required unit,,
Seawater Chemical Properties_Dissolved Oxygen concentration,Dissolved oxygen concentration in the H2O column,micromol/kg,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Seawater Chemical Properties_Dissolved Oxygen concentration_flag,Flag for column: Seawater Chemical Properties_Dissolved Oxygen concentration,,Flagging only when the given unit is different to the required unit,,
Seawater Optical Properties_Downward PAR,Visible waveband radiance and irradiance measurements in the H2O column,microE/m^2/s,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Seawater Optical Properties_Downward PAR_flag,Flag for column: Seawater Optical Properties_Downward PAR,,Flagging only when the given unit is different to the required unit,,
Seawater Optical Properties_Turbidity,Transmittance and attenuance of the H2O column,NTU,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Seawater Optical Properties_Turbidity_flag,Flag for column: Seawater Optical Properties_Turbidity,,Flagging only when the given unit is different to the required unit,,
Organic Matter Concentration (Amount or Mass)_POC,Particulate organic carbon concentration in the H2O column,microg/l,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Organic Matter Concentration (Amount or Mass)_POC_flag,Flag for column: Organic Matter Concentration (Amount or Mass)_POC,,Flagging only when the given unit is different to the required unit,,
Organic Matter Concentration (Amount or Mass)_PON,Particulate organic nitrogen concentration in the H2O column,microg/l,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Organic Matter Concentration (Amount or Mass)_PON_flag,Flag for column: Organic Matter Concentration (Amount or Mass)_PON,,Flagging only when the given unit is different to the required unit,,
Organic Matter Concentration (Amount or Mass)_DON,Dissolved organic nitrogen concentration in the H2O column,mg/l,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Organic Matter Concentration (Amount or Mass)_DON_flag,Flag for column: Organic Matter Concentration (Amount or Mass)_DON,,Flagging only when the given unit is different to the required unit,,
Organic Matter Concentration (Amount or Mass)_DOC,Dissolved organic carbon concentration in the H2O column,micromol/l,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
Organic Matter Concentration (Amount or Mass)_DOC_flag,Flag for column: Organic Matter Concentration (Amount or Mass)_DOC,,Flagging only when the given unit is different to the required unit,,
"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations",Concentration of pigments (e.g. chlorophyll a) extracted and analysed by fluorometry or HPLC,mg/m^3,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
"Organism Concentration (Amount, Volume or Mass)_Pigment concentrations_flag","Flag for column: Organism Concentration (Amount, Volume or Mass)_Pigment concentrations",,Flagging only when the given unit is different to the required unit,,
"Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton",Abundance of cells in the H2O column (+other avail. cell properties),per m^3,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
"Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton_flag","Flag for column: Organism Concentration (Amount, Volume or Mass)_Nano/Microplakton",,Flagging only when the given unit is different to the required unit,,
"Organism Concentration (Amount, Volume or Mass)_Picoplankton",Abundance of cells in the H2O column (+other avail. cell properties),per m^3,"Where no units were given by the sampling scientists it is assumed that the required units were used; where different units were given, those have been copied into the data spreadsheet and a flag has been added to this column", , 
