runId,experimentId,studyId,BioStudyId,sampleId,BioSampleId
ERR4674642,ERX4596618,ERP124432,PRJEB40763,ERS5181290,SAMEA7422941
ERR4674645,ERX4596621,ERP124432,PRJEB40763,ERS5181291,SAMEA7422942
ERR4674647,ERX4596623,ERP124432,PRJEB40763,ERS5181292,SAMEA7422943
ERR4674650,ERX4596626,ERP124432,PRJEB40763,ERS5181293,SAMEA7422944
ERR4674653,ERX4596629,ERP124432,PRJEB40763,ERS5181294,SAMEA7422945
ERR4674656,ERX4596632,ERP124432,PRJEB40763,ERS5181295,SAMEA7422946
ERR4674658,ERX4596634,ERP124432,PRJEB40763,ERS5181296,SAMEA7422947
ERR4674661,ERX4596637,ERP124432,PRJEB40763,ERS5181297,SAMEA7422948
ERR4674664,ERX4596640,ERP124432,PRJEB40763,ERS5181298,SAMEA7422949
ERR4674667,ERX4596643,ERP124432,PRJEB40763,ERS5181299,SAMEA7422950
ERR4674670,ERX4596646,ERP124432,PRJEB40763,ERS5181300,SAMEA7422951
ERR4674673,ERX4596649,ERP124432,PRJEB40763,ERS5181301,SAMEA7422952
ERR4674676,ERX4596652,ERP124432,PRJEB40763,ERS5181302,SAMEA7422953
ERR4674679,ERX4596655,ERP124432,PRJEB40763,ERS5181303,SAMEA7422954
ERR4674682,ERX4596658,ERP124432,PRJEB40763,ERS5181304,SAMEA7422955
ERR4674685,ERX4596661,ERP124432,PRJEB40763,ERS5181305,SAMEA7422956
ERR4674688,ERX4596664,ERP124432,PRJEB40763,ERS5181306,SAMEA7422957
ERR4674691,ERX4596667,ERP124432,PRJEB40763,ERS5181307,SAMEA7422958
ERR4674694,ERX4596670,ERP124432,PRJEB40763,ERS5181308,SAMEA7422959
ERR4674697,ERX4596673,ERP124432,PRJEB40763,ERS5181309,SAMEA7422960
ERR4674700,ERX4596676,ERP124432,PRJEB40763,ERS5181310,SAMEA7422961
ERR4674703,ERX4596679,ERP124432,PRJEB40763,ERS5181311,SAMEA7422962
ERR4674706,ERX4596682,ERP124432,PRJEB40763,ERS5181312,SAMEA7422963
ERR4674709,ERX4596685,ERP124432,PRJEB40763,ERS5181313,SAMEA7422964
ERR4674712,ERX4596688,ERP124432,PRJEB40763,ERS5181314,SAMEA7422965
ERR4674715,ERX4596691,ERP124432,PRJEB40763,ERS5181315,SAMEA7422966
ERR4674718,ERX4596694,ERP124432,PRJEB40763,ERS5181316,SAMEA7422967
ERR4674721,ERX4596697,ERP124432,PRJEB40763,ERS5181317,SAMEA7422968
ERR4674724,ERX4596700,ERP124432,PRJEB40763,ERS5181318,SAMEA7422969
ERR4674727,ERX4596703,ERP124432,PRJEB40763,ERS5181319,SAMEA7422970
ERR4674730,ERX4596706,ERP124432,PRJEB40763,ERS5181320,SAMEA7422971
ERR4674733,ERX4596709,ERP124432,PRJEB40763,ERS5181321,SAMEA7422972
ERR4674736,ERX4596712,ERP124432,PRJEB40763,ERS5181322,SAMEA7422973
ERR4674739,ERX4596715,ERP124432,PRJEB40763,ERS5181323,SAMEA7422974
ERR4674741,ERX4596717,ERP124432,PRJEB40763,ERS5181324,SAMEA7422975
ERR4674744,ERX4596720,ERP124432,PRJEB40763,ERS5181325,SAMEA7422976
ERR4674747,ERX4596723,ERP124432,PRJEB40763,ERS5181326,SAMEA7422977
ERR4674750,ERX4596726,ERP124432,PRJEB40763,ERS5181327,SAMEA7422978
ERR4674753,ERX4596729,ERP124432,PRJEB40763,ERS5181328,SAMEA7422979
ERR4674756,ERX4596732,ERP124432,PRJEB40763,ERS5181329,SAMEA7422980
ERR4674759,ERX4596735,ERP124432,PRJEB40763,ERS5181330,SAMEA7422981
ERR4674762,ERX4596738,ERP124432,PRJEB40763,ERS5181331,SAMEA7422982
ERR4674765,ERX4596741,ERP124432,PRJEB40763,ERS5181332,SAMEA7422983
ERR4674768,ERX4596744,ERP124432,PRJEB40763,ERS5181333,SAMEA7422984
ERR4674771,ERX4596747,ERP124432,PRJEB40763,ERS5181334,SAMEA7422985
ERR4674774,ERX4596750,ERP124432,PRJEB40763,ERS5181335,SAMEA7422986
ERR4674777,ERX4596753,ERP124432,PRJEB40763,ERS5181336,SAMEA7422987
ERR4674780,ERX4596756,ERP124432,PRJEB40763,ERS5181337,SAMEA7422988
