Rank	Taxonpath	Taxon	ERR1	ERR10	ERR11	ERR12	ERR13	ERR14	ERR15	ERR16	ERR17	ERR18	ERR19	ERR2	ERR20	ERR21	ERR22	ERR23	ERR24	ERR25	ERR26	ERR27	ERR28	ERR29	ERR3	ERR30	ERR31	ERR32	ERR33	ERR34	ERR35	ERR36	ERR37	ERR38	ERR39	ERR4	ERR40	ERR41	ERR42	ERR43	ERR44	ERR45	ERR46	ERR47	ERR48	ERR49	ERR5	ERR50	ERR6	ERR7	ERR8	ERR9
root	root	root	43.125	391.892857143	492.742718447	400.676056338	507.765625	375.5	341.086538462	282.511111111	293.592592593	393.460227273	212.009090909	33.45	226.051282051	201.0	124.515625	233.5625	232.897959184	274.421259843	420.889423077	308.757575758	193.441860465	296.428571429	215.066666667	324.480263158	282.649350649	306.568181818	142.12745098	196.11627907	185.414285714	169.902439024	160.235294118	144.25	100.223684211	152.568181818	162.444444444	103.920454545	200.140625	253.121212121	208.445945946	182.204545455	187.0	228.5078125	295.164473684	555.377358491	120.727272727	335.108208955	251.879032258	127.631578947	335.233766234	416.203448276
meta	Main genome	Main genome	41.2857142857	344.349056604	441.531578947	356.569230769	462.846456693	333.509090909	291.010869565	246.0125	253.041666667	346.558441558	192.948979592	33.45	198.470588235	194.296875	119.661290323	212.758064516	202.783783784	260.174796748	388.82	271.362903226	178.714285714	255.387931034	188.568965517	283.889705882	245.595588235	278.740740741	140.25	176.8125	171.080645161	153.878378378	137.0	126.027777778	93.6351351351	131.736842105	157.444444444	99.4069767442	172.666666667	232.336065574	185.117647059	168.1	172.017857143	211.075	264.64	515.487864078	95.9230769231	326.909090909	217.240384615	109.7	290.970588235	371.003623188
meta	Chloroplast	Chloroplast	2.0	44.0	46.1428571429	40.9	50.5	39.5	45.4	31.125	36.9	41.8888888889	19.3333333333	None	26.6	None	5.0	None	31.1666666667	14.5	31.5	36.5	20.0	40.0416666667	43.5	40.5714285714	37.0625	29.25	2.0	18.5	13.125	16.125	35.0	None	4.5	21.1666666667	None	6.0	27.5	20.9	23.5	14.25	15.25	18.0	51.5	44.1	25.3333333333	8.25	34.8	18.125	44.0	43.3333333333
meta	Mitochondria	Mitochondria	None	None	6.0	3.5	None	3.0	6.0	6.0	4.5	5.25	None	None	None	None	None	3.0	None	None	1.0	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	1.0	None	None	None	None	6.0
meta	No hits	No hits	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
domain	Main genome;Bacteria	Bacteria	41.2857142857	336.094339623	433.531578947	347.623076923	453.6	327.037037037	284.5	241.0125	246.260416667	341.558441558	192.948979592	33.45	188.333333333	192.345744681	119.661290323	208.564516129	202.783783784	260.174796748	384.163265306	262.814516129	177.011904762	251.827586207	188.568965517	273.798507463	240.298507463	276.490654206	140.25	176.8125	166.6	153.013888889	137.0	126.027777778	93.6351351351	131.736842105	157.444444444	99.4069767442	172.666666667	232.336065574	184.333333333	168.1	172.017857143	211.075	260.390410959	513.281553398	94.9230769231	322.984615385	217.240384615	108.133333333	282.940298507	363.722627737
domain	Main genome;Eukaryota	Eukaryota	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
domain	Main genome;Archaea	Archaea	None	None	None	None	8.0	7.0	7.0	None	None	None	None	None	11.0	2.0	None	None	None	None	5.0	None	None	None	None	11.0	5.5	2.5	None	None	4.5	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	4.25	None	None	4.0	None	None	9.0	7.5
domain	Chloroplast;Bacteria (Chloroplast)	Bacteria (Chloroplast)	2.0	44.0	46.1428571429	40.9	50.5	39.5	45.4	31.125	36.9	41.8888888889	19.3333333333	None	26.6	None	5.0	None	31.1666666667	14.5	31.5	36.5	20.0	40.0416666667	43.5	40.5714285714	37.0625	29.25	2.0	18.5	13.125	16.125	35.0	None	4.5	21.1666666667	None	6.0	27.5	20.9	23.5	14.25	15.25	18.0	51.5	44.1	25.3333333333	8.25	34.8	18.125	44.0	43.3333333333
domain	Mitochondria;Bacteria (Mitochondrion)	Bacteria (Mitochondrion)	None	None	6.0	3.5	None	3.0	6.0	6.0	4.5	5.25	None	None	None	None	None	3.0	None	None	1.0	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	1.0	None	None	None	None	6.0
superkingdom	Main genome;Bacteria;Proteobacteria	Proteobacteria	20.0	163.903225806	174.328947368	141.586956522	175.76	124.333333333	121.970588235	122.020833333	128.066666667	150.37804878	117.446428571	18.9	86.5454545455	69.1428571429	53.2857142857	82.0	110.361111111	115.234693878	146.2	126.5	81.5208333333	121.942307692	85.3214285714	139.568965517	112.181818182	125.315217391	49.5588235294	93.38	71.6333333333	62.2	78.7222222222	66.2	33.5	85.0625	40.5	26.0357142857	99.5294117647	86.8409090909	90.6944444444	102.970588235	117.615384615	104.673913043	111.326923077	219.951807229	51.2	156.875	103.326923077	51.0833333333	133.344827586	148.580357143
superkingdom	Main genome;Bacteria;Tenericutes	Tenericutes	None	None	None	None	None	None	None	None	None	None	None	None	None	4.5	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	2.0	None	None	1.0	3.0	None	None	3.0	None	None	None	None
superkingdom	Main genome;Bacteria;Actinobacteria	Actinobacteria	3.5	12.5	19.0833333333	15.6666666667	22.7857142857	14.1666666667	11.0	None	5.0	9.25	6.0	None	12.5	None	None	8.0	9.0	20.5	16.5	9.66666666667	9.0	7.0	9.16666666667	8.5	10.0	5.0	9.0	8.16666666667	8.0	None	None	None	None	2.0	6.5	8.125	None	None	6.0	None	None	7.0	14.125	10.5	None	None	15.125	None	12.0	8.0
superkingdom	Main genome;Bacteria;Bacteroidetes	Bacteroidetes	9.4	105.041666667	133.880952381	113.230769231	130.692307692	112.384615385	95.4473684211	79.6428571429	75.7222222222	102.5	45.0	5.0	67.6666666667	55.6944444444	30.6	83.1666666667	56.0	77.125	121.557692308	88.1315789474	57.6428571429	91.6842105263	71.0833333333	87.5238095238	78.7826086957	85.9230769231	51.6842105263	36.75	72.4615384615	56.5454545455	35.125	27.75	29.5625	32.0	81.880952381	26.7857142857	38.6428571429	94.025	53.3888888889	48.0	34.8888888889	51.225	94.6666666667	196.480263158	28.0357142857	104.142857143	63.1153846154	51.25	85.8461538462	134.844444444
superkingdom	Main genome;Bacteria;Firmicutes	Firmicutes	10.25	None	1.0	None	None	None	None	2.0	None	2.5	1.0	8.0	None	None	None	2.5	4.25	13.0	None	None	4.5	1.0	None	None	None	1.0	8.0	7.0	None	None	None	None	None	None	6.0	8.16666666667	None	1.0	None	None	None	8.5	2.0	5.0	None	3.0	None	None	None	3.0
superkingdom	Main genome;Bacteria;Spirochaetes	Spirochaetes	None	None	2.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	4.5	1.0	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None
superkingdom	Main genome;Bacteria;Cyanobacteria	Cyanobacteria	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	4.25	None	None	None	None	6.5	None	11.5	None	None	None	None	None	8.0	None	None	6.0	None	8.0	None	10.0	None	7.0	6.0	None	None	2.0	None	5.0	None	None	None	None
superkingdom	Main genome;Bacteria;Verrucomicrobia	Verrucomicrobia	None	25.1428571429	31.0	30.1666666667	34.6428571429	22.1666666667	None	None	18.0	24.6666666667	None	None	None	3.0	None	41.5	8.5	4.0	37.1818181818	12.5	None	None	9.0	13.0	None	16.25	3.5	None	None	10.25	10.0	14.5	8.0	None	17.0625	5.25	None	12.0	17.5	12.0	9.25	16.6666666667	9.25	23.2	None	7.0	9.25	1.0	21.125	35.8333333333
superkingdom	Main genome;Bacteria;Epsilonbacteraeota	Epsilonbacteraeota	None	None	6.0	2.0	3.0	None	3.5	None	1.0	4.5	None	1.0	None	5.0	None	None	None	None	None	None	3.5	None	None	7.125	1.0	4.25	None	None	None	3.0	None	None	1.0	None	None	None	None	5.66666666667	None	None	2.0	None	None	11.125	None	14.0	None	None	None	None
superkingdom	Main genome;Bacteria;Acidobacteria	Acidobacteria	None	None	None	None	2.0	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	1.0	None	None	None	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	2.0
superkingdom	Main genome;Bacteria;Chloroflexi	Chloroflexi	None	None	2.5	None	2.5	None	None	None	None	3.25	None	None	None	None	None	None	None	None	4.25	None	None	None	None	None	1.0	None	2.5	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Patescibacteria	Patescibacteria	None	None	3.25	4.25	6.66666666667	None	None	2.0	None	5.0	None	None	None	17.0	3.0	None	1.0	5.0	None	None	None	None	None	None	None	4.0	3.0	None	None	None	None	None	2.0	None	None	1.0	None	None	None	None	None	None	3.0	6.0	None	8.0	None	None	2.0	4.0
superkingdom	Main genome;Bacteria;Planctomycetes	Planctomycetes	None	10.0	21.0833333333	14.0	25.0	20.25	12.125	9.0	5.5	14.125	1.0	None	6.0	5.16666666667	2.0	None	2.5	4.0	19.5625	7.125	8.5	3.25	6.5	2.0	None	11.25	3.25	6.5	4.5	2.0	None	None	3.5	None	None	13.0625	None	6.25	3.5	None	None	8.25	3.0	10.1	None	3.0	6.0	None	10.1	7.25
superkingdom	Main genome;Bacteria;Chlamydiae	Chlamydiae	None	None	1.0	None	None	2.0	1.0	None	1.0	None	None	None	1.0	2.0	None	None	None	2.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None
superkingdom	Main genome;Bacteria;Gemmatimonadetes	Gemmatimonadetes	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Lentisphaerae	Lentisphaerae	None	None	None	None	2.0	4.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	1.0	None	2.0	None	None	None	None
superkingdom	Main genome;Bacteria;Fusobacteria	Fusobacteria	None	None	None	None	None	None	None	None	None	5.0	None	None	None	None	None	None	None	None	None	4.16666666667	1.0	None	None	None	None	5.16666666667	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.5	5.5	None	5.5	None	None	None	6.0
superkingdom	Main genome;Bacteria;Dependentiae	Dependentiae	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Armatimonadetes	Armatimonadetes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Marinimicrobia (SAR406 clade)	Marinimicrobia (SAR406 clade)	None	3.0	4.0	3.0	None	4.5	None	None	2.0	None	7.0	None	3.0	None	None	None	None	None	None	1.0	1.0	None	1.0	3.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	1.0	None	None	None
superkingdom	Main genome;Bacteria;Omnitrophicaeota	Omnitrophicaeota	None	None	None	None	3.0	None	None	None	None	1.0	None	None	1.0	None	1.0	None	None	None	None	None	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None
superkingdom	Main genome;Bacteria;Latescibacteria	Latescibacteria	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Kiritimatiellaeota	Kiritimatiellaeota	None	None	10.25	3.25	13.5	8.0	None	1.0	None	7.125	2.0	None	None	1.0	None	None	None	None	12.0	2.5	1.0	1.0	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	3.25	1.0	2.0	None	None	1.0	1.0
superkingdom	Main genome;Bacteria;Calditrichaeota	Calditrichaeota	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Cloacimonetes	Cloacimonetes	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;Fibrobacteres	Fibrobacteres	None	None	1.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	1.0	None
superkingdom	Main genome;Bacteria;BRC1	BRC1	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;LCP-89	LCP-89	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
superkingdom	Main genome;Bacteria;WPS-2	WPS-2	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Eukaryota;SAR	SAR	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
superkingdom	Main genome;Archaea;Euryarchaeota	Euryarchaeota	None	None	None	None	6.0	6.0	None	None	None	None	None	None	11.0	None	None	None	None	None	4.0	None	None	None	None	11.0	5.5	None	None	None	4.5	None	None	None	None	None	None	None	None	None	None	None	None	None	3.5	None	None	3.0	None	None	9.0	7.5
superkingdom	Main genome;Archaea;Nanoarchaeaeota	Nanoarchaeaeota	None	None	None	None	2.0	None	1.0	None	None	None	None	None	None	2.0	None	None	None	None	1.0	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	None	None	None	None	None	None	1.0	None	None	None	1.0	None	None	1.0	None	None	None	None
superkingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast)	Cyanobacteria (Chloroplast)	2.0	44.0	46.1428571429	40.9	50.5	39.5	45.4	31.125	36.9	41.8888888889	19.3333333333	None	26.6	None	5.0	None	31.1666666667	14.5	31.5	36.5	20.0	40.0416666667	43.5	40.5714285714	37.0625	29.25	2.0	18.5	13.125	16.125	35.0	None	4.5	21.1666666667	None	6.0	27.5	20.9	23.5	14.25	15.25	18.0	51.5	44.1	25.3333333333	8.25	34.8	18.125	44.0	43.3333333333
superkingdom	Mitochondria;Bacteria (Mitochondrion);Proteobacteria (Mitochondrion)	Proteobacteria (Mitochondrion)	None	None	6.0	3.5	None	3.0	6.0	6.0	4.5	5.25	None	None	None	None	None	3.0	None	None	1.0	None	None	None	None	1.0	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	1.0	None	None	None	None	6.0
kingdom	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria	Gammaproteobacteria	14.0	93.5625	88.025	63.3214285714	86.625	57.25	52.3333333333	58.1666666667	58.7	77.8409090909	49.2857142857	15.5	35.6428571429	25.45	23.2222222222	34.5625	46.0625	74.3787878788	72.9285714286	55.0416666667	26.25	63.125	38.0833333333	71.1428571429	48.2	53.6944444444	24.0	30.1818181818	26.5625	25.9	34.9	24.25	13.0833333333	26.9	21.2857142857	13.0	39.25	33.6666666667	35.8	35.7857142857	41.3333333333	41.0	41.25	116.9	18.0833333333	100.290697674	27.0	25.4	55.5555555556	78.6805555556
kingdom	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria	Alphaproteobacteria	6.0	72.7647058824	63.6666666667	66.0	62.8928571429	58.125	59.25	60.0	63.5	56.0416666667	64.4090909091	3.5	54.1666666667	34.8	30.6	47.5625	61.5	36.0416666667	53.5	63.05	52.75	53.0833333333	46.0	62.1666666667	50.3888888889	64.8181818182	21.8888888889	62.0416666667	43.75	27.0833333333	36.125	35.75	19.5	67.0	19.0	10.0714285714	52.5	45.6428571429	43.5	57.25	66.2857142857	58.75	64.8928571429	83.8448275862	32.5	54.8461538462	72.25	28.5	68.5	59.6333333333
kingdom	Main genome;Bacteria;Proteobacteria;Deltaproteobacteria	Deltaproteobacteria	None	10.0833333333	23.3333333333	15.0	28.125	12.1666666667	10.5	5.125	6.5	16.6428571429	3.0	None	1.0	9.0625	None	None	2.5	5.125	21.0	8.5	None	6.5	None	6.16666666667	13.0625	6.0	4.25	3.0	2.0	9.5	None	7.0	1.0	None	1.0	3.0	None	7.66666666667	11.6666666667	10.0	None	6.0	6.0	19.2222222222	None	4.0	None	None	11.0555555556	10.9
kingdom	Main genome;Bacteria;Tenericutes;Mollicutes	Mollicutes	None	None	None	None	None	None	None	None	None	None	None	None	None	4.5	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	2.0	None	None	1.0	3.0	None	None	3.0	None	None	None	None
kingdom	Main genome;Bacteria;Actinobacteria;Actinobacteria (kingdom)	Actinobacteria (kingdom)	2.5	None	7.0	9.66666666667	7.16666666667	4.0	6.0	None	2.0	5.25	1.0	None	None	None	None	4.0	7.0	13.25	5.0	3.25	7.0	None	7.25	None	None	None	4.0	6.16666666667	None	None	None	None	None	1.0	None	3.0	None	None	6.0	None	None	None	None	5.0	None	None	10.0	None	3.0	3.0
kingdom	Main genome;Bacteria;Actinobacteria;Thermoleophilia	Thermoleophilia	None	None	2.0	None	2.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Actinobacteria;Acidimicrobiia	Acidimicrobiia	None	7.0	10.25	None	13.5	10.25	None	None	None	None	5.0	None	6.5	None	None	None	None	7.25	10.0	6.5	None	3.0	2.0	3.0	None	5.0	5.0	None	4.5	None	None	None	None	None	3.5	5.25	None	None	None	None	None	2.5	6.0	None	None	None	4.5	None	8.0	5.0
kingdom	Main genome;Bacteria;Actinobacteria;Nitriliruptoria	Nitriliruptoria	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	1.0	None	None	None	1.0	None	1.0	None
kingdom	Main genome;Bacteria;Bacteroidetes;Bacteroidia	Bacteroidia	9.4	104.041666667	131.625	110.557692308	128.692307692	110.384615385	92.9705882353	79.6428571429	74.0	102.041666667	42.0833333333	5.0	67.6666666667	53.7352941176	28.5	83.1666666667	54.5714285714	76.1285714286	119.78	88.1315789474	56.6428571429	91.6842105263	70.0833333333	87.5238095238	76.8181818182	84.0	51.6842105263	35.75	72.4615384615	53.6818181818	34.125	26.75	29.5625	30.0	81.880952381	26.7857142857	37.6428571429	93.025	52.3888888889	47.0	33.8888888889	49.2368421053	92.6666666667	193.54109589	28.0357142857	104.142857143	62.1153846154	51.25	84.8461538462	134.844444444
kingdom	Main genome;Bacteria;Bacteroidetes;Rhodothermia	Rhodothermia	None	None	None	None	None	None	3.0	None	None	1.0	None	None	None	None	None	None	2.0	1.0	2.0	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	2.0	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Bacteroidetes;Chlorobia	Chlorobia	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Bacteroidetes;Ignavibacteria	Ignavibacteria	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Firmicutes;Bacilli	Bacilli	8.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	4.25	2.0	None	None	None	None	None	None	None	None	8.0	5.0	None	None	None	None	None	None	None	8.16666666667	None	None	None	None	None	4.5	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Firmicutes;Clostridia	Clostridia	2.0	None	1.0	None	None	None	None	2.0	None	2.5	1.0	None	None	None	None	2.5	None	8.0	None	None	2.0	1.0	None	None	None	None	None	2.0	None	None	None	None	None	None	5.0	None	None	None	None	None	None	4.16666666667	1.0	5.0	None	2.0	None	None	None	2.0
kingdom	Main genome;Bacteria;Firmicutes;Erysipelotrichia	Erysipelotrichia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	1.0	None	None	1.0	None	None	None	None
kingdom	Main genome;Bacteria;Firmicutes;Negativicutes	Negativicutes	None	None	None	None	None	None	None	None	None	None	None	3.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
kingdom	Main genome;Bacteria;Spirochaetes;Spirochaetia	Spirochaetia	None	None	2.0	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	1.0	4.5	1.0	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None	None
kingdom	Main genome;Bacteria;Cyanobacteria;Oxyphotobacteria	Oxyphotobacteria	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	4.25	None	None	None	None	6.5	None	11.5	None	None	None	None	None	7.0	None	None	6.0	None	8.0	None	10.0	None	6.0	5.0	None	None	2.0	None	4.0	None	None	None	None
kingdom	Main genome;Bacteria;Cyanobacteria;Melainabacteria	Melainabacteria	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None
kingdom	Main genome;Bacteria;Verrucomicrobia;Verrucomicrobiae	Verrucomicrobiae	None	25.1428571429	31.0	30.1666666667	34.6428571429	22.1666666667	None	None	18.0	24.6666666667	None	None	None	3.0	None	41.5	8.5	4.0	37.1818181818	12.5	None	None	9.0	13.0	None	16.25	3.5	None	None	10.25	10.0	14.5	8.0	None	17.0625	5.25	None	12.0	17.5	12.0	9.25	16.6666666667	9.25	23.2	None	7.0	9.25	1.0	21.125	35.8333333333
kingdom	Main genome;Bacteria;Epsilonbacteraeota;Campylobacteria	Campylobacteria	None	None	6.0	2.0	3.0	None	3.5	None	1.0	4.5	None	1.0	None	5.0	None	None	None	None	None	None	3.5	None	None	7.125	1.0	4.25	None	None	None	3.0	None	None	1.0	None	None	None	None	5.66666666667	None	None	2.0	None	None	11.125	None	14.0	None	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;Acidobacteriia	Acidobacteriia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;Thermoanaerobaculia	Thermoanaerobaculia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
kingdom	Main genome;Bacteria;Acidobacteria;Blastocatellia (Subgroup 4)	Blastocatellia (Subgroup 4)	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	2.0	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 6	Subgroup 6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;Holophagae	Holophagae	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;Subgroup 22	Subgroup 22	None	None	None	None	2.0	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Acidobacteria;AT-s3-28	AT-s3-28	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0
kingdom	Main genome;Bacteria;Chloroflexi;Chloroflexia	Chloroflexia	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Chloroflexi;Anaerolineae	Anaerolineae	None	None	2.5	None	2.5	None	None	None	None	2.5	None	None	None	None	None	None	None	None	4.25	None	None	None	None	None	1.0	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Chloroflexi;KD4-96	KD4-96	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
kingdom	Main genome;Bacteria;Patescibacteria;Gracilibacteria	Gracilibacteria	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	3.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	3.0	None	7.0	None	None	None	2.0
kingdom	Main genome;Bacteria;Patescibacteria;Microgenomatia	Microgenomatia	None	None	None	None	1.0	None	None	None	None	None	None	None	None	4.0	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
